"","Gene_Name","Gene_ID"
"865","rbfox2","ENSCHAG00000025529"
"868","rel","ENSCHAG00000003607"
"870","rrp12","ENSCHAG00000009235"
"875","s1pr5b","ENSCHAG00000025449"
"876","sbf1","ENSCHAG00000014179"
"880","scamp5b","ENSCHAG00000019325"
"882","scp2b","ENSCHAG00000022810"
"885","sema4bb","ENSCHAG00000023077"
"886","sez6l2","ENSCHAG00000007285"
"888","sfrp5","ENSCHAG00000009066"
"889","si:busm1-57f23.1","ENSCHAG00000006917"
"890","si:ch1073-342h5.2","ENSCHAG00000023110"
"891","si:ch211-185a18.2","ENSCHAG00000015118"
"892","si:ch211-189k9.2","ENSCHAG00000003275"
"896","si:ch211-223a10.1","ENSCHAG00000011174"
"897","si:ch211-263p13.7","ENSCHAG00000025223"
"898","si:ch211-80m8.2","ENSCHAG00000017570"
"899","si:ch73-167i17.6","ENSCHAG00000021157"
"900","si:dkey-15f17.8","ENSCHAG00000009147"
"901","si:dkey-217f16.6","ENSCHAG00000000010"
"902","si:dkey-27j5.5","ENSCHAG00000003016"
"903","si:dkeyp-51b7.3","ENSCHAG00000022590"
"904","si:zfos-323e3.4","ENSCHAG00000025442"
"905","skib","ENSCHAG00000013389"
"906","slc16a1a","ENSCHAG00000011106"
"909","slc1a7b","ENSCHAG00000022670"
"913","slc24a1","ENSCHAG00000003677"
"914","slc25a55a","ENSCHAG00000010850"
"915","slc35d1a","ENSCHAG00000027162"
"918","slc38a10","ENSCHAG00000021219"
"921","slc5a8l","ENSCHAG00000010965"
"925","slc7a11","ENSCHAG00000015106"
"930","slit3","ENSCHAG00000014782"
"940","smim12","ENSCHAG00000002472"
"941","smyd4","ENSCHAG00000006231"
"942","sox9a","ENSCHAG00000003639"
"943","spata17","ENSCHAG00000009222"
"944","srp68","ENSCHAG00000016758"
"948","st3gal3a","ENSCHAG00000022851"
"952","stat1a","ENSCHAG00000023851"
"960","stc2b","ENSCHAG00000001314"
"961","sult4a1","ENSCHAG00000005136"
"962","sync","ENSCHAG00000006674"
"963","tanc2a","ENSCHAG00000013420"
"973","tbkbp1","ENSCHAG00000020823"
"974","tbpl2","ENSCHAG00000015292"
"975","ten1","ENSCHAG00000016589"
"977","tfcp2l1","ENSCHAG00000017978"
"978","timm9","ENSCHAG00000015077"
"979","tmem51b","ENSCHAG00000013317"
"982","traf1","ENSCHAG00000022601"
"984","tshba","ENSCHAG00000010920"
"985","tspan2a","ENSCHAG00000010824"
"986","tuba8l3","ENSCHAG00000021422"
"992","twf1b","ENSCHAG00000024685"
"993","ube2a","ENSCHAG00000018971"
"998","utp3","ENSCHAG00000012804"
"999","uvrag","ENSCHAG00000017673"
"1002","wdr76","ENSCHAG00000023150"
"1007","wnt11","ENSCHAG00000017625"
"1010","wnt3","ENSCHAG00000018541"
"1013","xpnpep3","ENSCHAG00000015345"
"1017","xpo1b","ENSCHAG00000002294"
"1022","yaf2","ENSCHAG00000024722"
"1024","zc2hc1a","ENSCHAG00000009352"
"1026","zcrb1","ENSCHAG00000024705"
"1029","zdhhc16a","ENSCHAG00000009157"
"1032","zfhx4","ENSCHAG00000009464"
"1033","zgc:113944","ENSCHAG00000015278"
"1034","zgc:171482","ENSCHAG00000009081"
"1035","znf710b","ENSCHAG00000023132"
