"Sample","Population.Year","Year.Collected","pop","maprate"
"0969_CA17","CA17",2017,"CA",97.16
"0970_CA17","CA17",2017,"CA",97.34
"0971_CA17","CA17",2017,"CA",97.01
"0972_CA17","CA17",2017,"CA",97.06
"0973_CA17","CA17",2017,"CA",97.44
"0974_CA17","CA17",2017,"CA",97.51
"0975_CA17","CA17",2017,"CA",97.28
"0976_CA17","CA17",2017,"CA",97.09
"1233_CA17","CA17",2017,"CA",97.46
"1234_CA17","CA17",2017,"CA",97.29
"1235_CA17","CA17",2017,"CA",96.72
"1236_CA17","CA17",2017,"CA",96.89
"1237_CA17","CA17",2017,"CA",97.08
"1238_CA17","CA17",2017,"CA",97.72
"1239_CA17","CA17",2017,"CA",97.31
"1240_CA17","CA17",2017,"CA",97.22
"1241_CA17","CA17",2017,"CA",97.98
"1242_CA17","CA17",2017,"CA",97.71
"1243_CA17","CA17",2017,"CA",97.6
"1244_CA17","CA17",2017,"CA",97.64
"1245_CA17","CA17",2017,"CA",97.55
"1246_CA17","CA17",2017,"CA",97.75
"1247_CA17","CA17",2017,"CA",97.85
"1248_CA17","CA17",2017,"CA",96.7
"0353_PWS07","PWS07",2007,"PWS",97.78
"0354_PWS07","PWS07",2007,"PWS",98.03
"0355_PWS07","PWS07",2007,"PWS",98.14
"0356_PWS07","PWS07",2007,"PWS",97.92
"0357_PWS07","PWS07",2007,"PWS",97.93
"0358_PWS07","PWS07",2007,"PWS",97.72
"0359_PWS07","PWS07",2007,"PWS",97.9
"0360_PWS07","PWS07",2007,"PWS",98.1
"0361_PWS07","PWS07",2007,"PWS",98.08
"0362_PWS07","PWS07",2007,"PWS",98.11
"0363_PWS07","PWS07",2007,"PWS",98.03
"0364_PWS07","PWS07",2007,"PWS",98.05
"0365_PWS07","PWS07",2007,"PWS",98.11
"0366_PWS07","PWS07",2007,"PWS",97.94
"0367_PWS07","PWS07",2007,"PWS",98
"0409_PWS07","PWS07",2007,"PWS",97.73
"0410_PWS07","PWS07",2007,"PWS",97.74
"0411_PWS07","PWS07",2007,"PWS",97.9
"0412_PWS07","PWS07",2007,"PWS",98.19
"0413_PWS07","PWS07",2007,"PWS",97.9
"0414_PWS07","PWS07",2007,"PWS",97.9
"0415_PWS07","PWS07",2007,"PWS",97.93
"0433_PWS07","PWS07",2007,"PWS",98.07
"0434_PWS07","PWS07",2007,"PWS",98.06
"0435_PWS07","PWS07",2007,"PWS",98.02
"0436_PWS07","PWS07",2007,"PWS",98.14
"0437_PWS07","PWS07",2007,"PWS",97.91
"0438_PWS07","PWS07",2007,"PWS",98
"0439_PWS07","PWS07",2007,"PWS",97.92
"0440_PWS07","PWS07",2007,"PWS",98
"0553_PWS07","PWS07",2007,"PWS",97.9
"0554_PWS07","PWS07",2007,"PWS",97.76
"0555_PWS07","PWS07",2007,"PWS",98.03
"0556_PWS07","PWS07",2007,"PWS",97.83
"0557_PWS07","PWS07",2007,"PWS",97.94
"0558_PWS07","PWS07",2007,"PWS",97.69
"0559_PWS07","PWS07",2007,"PWS",97.94
"0560_PWS07","PWS07",2007,"PWS",97.78
"1145_PWS07","PWS07",2007,"PWS",97.78
"1146_PWS07","PWS07",2007,"PWS",97.81
"1147_PWS07","PWS07",2007,"PWS",97.79
"1148_PWS07","PWS07",2007,"PWS",97.99
"1149_PWS07","PWS07",2007,"PWS",97.88
"1150_PWS07","PWS07",2007,"PWS",97.74
"1151_PWS07","PWS07",2007,"PWS",97.76
"1152_PWS07","PWS07",2007,"PWS",97.89
"0329_PWS17","PWS17",2017,"PWS",97.76
"0330_PWS17","PWS17",2017,"PWS",97.83
"0331_PWS17","PWS17",2017,"PWS",97.78
"0332_PWS17","PWS17",2017,"PWS",97.71
"0333_PWS17","PWS17",2017,"PWS",97.72
"0334_PWS17","PWS17",2017,"PWS",97.61
"0335_PWS17","PWS17",2017,"PWS",97.71
"0336_PWS17","PWS17",2017,"PWS",97.91
"0473_PWS17","PWS17",2017,"PWS",97.35
"0474_PWS17","PWS17",2017,"PWS",96.93
"0475_PWS17","PWS17",2017,"PWS",97.44
"0476_PWS17","PWS17",2017,"PWS",97.72
"0477_PWS17","PWS17",2017,"PWS",97.44
"0478_PWS17","PWS17",2017,"PWS",97.62
"0479_PWS17","PWS17",2017,"PWS",97.37
"0480_PWS17","PWS17",2017,"PWS",97.4
"0577_PWS17","PWS17",2017,"PWS",97.36
"0578_PWS17","PWS17",2017,"PWS",97.5
"0579_PWS17","PWS17",2017,"PWS",97.24
"0580_PWS17","PWS17",2017,"PWS",97.36
"0581_PWS17","PWS17",2017,"PWS",97.49
"0582_PWS17","PWS17",2017,"PWS",97.36
"0583_PWS17","PWS17",2017,"PWS",97.38
"0584_PWS17","PWS17",2017,"PWS",97.57
"0649_PWS17","PWS17",2017,"PWS",97.7
"0650_PWS17","PWS17",2017,"PWS",97.52
"0651_PWS17","PWS17",2017,"PWS",97.2
"0652_PWS17","PWS17",2017,"PWS",97.22
"0653_PWS17","PWS17",2017,"PWS",97.53
"0654_PWS17","PWS17",2017,"PWS",97.39
"0655_PWS17","PWS17",2017,"PWS",97.46
"0656_PWS17","PWS17",2017,"PWS",97.58
"0953_PWS17","PWS17",2017,"PWS",97.41
"0954_PWS17","PWS17",2017,"PWS",97.77
"0955_PWS17","PWS17",2017,"PWS",97.51
"0956_PWS17","PWS17",2017,"PWS",97.58
"0957_PWS17","PWS17",2017,"PWS",97.67
"0958_PWS17","PWS17",2017,"PWS",97.84
"0959_PWS17","PWS17",2017,"PWS",97.67
"0960_PWS17","PWS17",2017,"PWS",97.65
"0977_PWS17","PWS17",2017,"PWS",97.23
"0978_PWS17","PWS17",2017,"PWS",97.38
"0979_PWS17","PWS17",2017,"PWS",97.41
"0980_PWS17","PWS17",2017,"PWS",97.46
"0981_PWS17","PWS17",2017,"PWS",97.66
"0982_PWS17","PWS17",2017,"PWS",97.45
"0983_PWS17","PWS17",2017,"PWS",97.97
"0984_PWS17","PWS17",2017,"PWS",97.39
"1033_PWS17","PWS17",2017,"PWS",97.34
"1034_PWS17","PWS17",2017,"PWS",97.39
"1035_PWS17","PWS17",2017,"PWS",97.44
"1036_PWS17","PWS17",2017,"PWS",97.85
"1037_PWS17","PWS17",2017,"PWS",97.39
"1038_PWS17","PWS17",2017,"PWS",97.36
"1039_PWS17","PWS17",2017,"PWS",97.24
"1040_PWS17","PWS17",2017,"PWS",97.36
"0561_PWS91","PWS91",1991,"PWS",96.93
"0562_PWS91","PWS91",1991,"PWS",97.61
"0563_PWS91","PWS91",1991,"PWS",96.83
"0564_PWS91","PWS91",1991,"PWS",97.41
"0565_PWS91","PWS91",1991,"PWS",97.3
"0567_PWS91","PWS91",1991,"PWS",96.96
"0568_PWS91","PWS91",1991,"PWS",97.4
"0585_PWS91","PWS91",1991,"PWS",97.38
"0586_PWS91","PWS91",1991,"PWS",97.52
"0588_PWS91","PWS91",1991,"PWS",97.14
"0589_PWS91","PWS91",1991,"PWS",97.01
"0590_PWS91","PWS91",1991,"PWS",97.5
"0591_PWS91","PWS91",1991,"PWS",96.91
"0592_PWS91","PWS91",1991,"PWS",96.97
"0665_PWS91","PWS91",1991,"PWS",97.05
"0666_PWS91","PWS91",1991,"PWS",97.43
"0667_PWS91","PWS91",1991,"PWS",97.79
"0668_PWS91","PWS91",1991,"PWS",97.57
"0669_PWS91","PWS91",1991,"PWS",97.48
"0670_PWS91","PWS91",1991,"PWS",97.28
"0671_PWS91","PWS91",1991,"PWS",96.96
"0672_PWS91","PWS91",1991,"PWS",96.98
"0698_PWS91","PWS91",1991,"PWS",97.66
"0699_PWS91","PWS91",1991,"PWS",97.22
"0700_PWS91","PWS91",1991,"PWS",96.58
"0701_PWS91","PWS91",1991,"PWS",97.79
"0702_PWS91","PWS91",1991,"PWS",97.64
"0703_PWS91","PWS91",1991,"PWS",97.69
"0704_PWS91","PWS91",1991,"PWS",97.49
"0785_PWS91","PWS91",1991,"PWS",97.76
"0786_PWS91","PWS91",1991,"PWS",97.38
"0787_PWS91","PWS91",1991,"PWS",97.42
"0788_PWS91","PWS91",1991,"PWS",96.89
"0789_PWS91","PWS91",1991,"PWS",96.79
"0790_PWS91","PWS91",1991,"PWS",96.97
"0791_PWS91","PWS91",1991,"PWS",96.53
"0792_PWS91","PWS91",1991,"PWS",96.87
"0809_PWS91","PWS91",1991,"PWS",96.97
"0810_PWS91","PWS91",1991,"PWS",97.53
"0811_PWS91","PWS91",1991,"PWS",97.54
"0812_PWS91","PWS91",1991,"PWS",97.59
"0813_PWS91","PWS91",1991,"PWS",97.67
"0814_PWS91","PWS91",1991,"PWS",97.91
"0815_PWS91","PWS91",1991,"PWS",97.63
"0816_PWS91","PWS91",1991,"PWS",97.32
"1105_PWS91","PWS91",1991,"PWS",96.78
"1106_PWS91","PWS91",1991,"PWS",96.34
"1107_PWS91","PWS91",1991,"PWS",96.65
"1110_PWS91","PWS91",1991,"PWS",97.16
"1112_PWS91","PWS91",1991,"PWS",96.8
"1201_PWS91","PWS91",1991,"PWS",97.42
"1202_PWS91","PWS91",1991,"PWS",97.43
"1203_PWS91","PWS91",1991,"PWS",97.08
"1204_PWS91","PWS91",1991,"PWS",97.21
"1205_PWS91","PWS91",1991,"PWS",96.73
"1206_PWS91","PWS91",1991,"PWS",97.49
"1207_PWS91","PWS91",1991,"PWS",97.32
"1208_PWS91","PWS91",1991,"PWS",97.38
"0449_PWS96","PWS96",1996,"PWS",97.28
"0450_PWS96","PWS96",1996,"PWS",97.14
"0451_PWS96","PWS96",1996,"PWS",97.49
"0452_PWS96","PWS96",1996,"PWS",97.17
"0453_PWS96","PWS96",1996,"PWS",97.24
"0454_PWS96","PWS96",1996,"PWS",96.87
"0455_PWS96","PWS96",1996,"PWS",97.1
"0456_PWS96","PWS96",1996,"PWS",97.03
"0601_PWS96","PWS96",1996,"PWS",96.87
"0602_PWS96","PWS96",1996,"PWS",97.18
"0603_PWS96","PWS96",1996,"PWS",96.93
"0604_PWS96","PWS96",1996,"PWS",97.44
"0605_PWS96","PWS96",1996,"PWS",97.19
"0606_PWS96","PWS96",1996,"PWS",97.34
"0607_PWS96","PWS96",1996,"PWS",97.34
"0608_PWS96","PWS96",1996,"PWS",97
"0753_PWS96","PWS96",1996,"PWS",97.2
"0754_PWS96","PWS96",1996,"PWS",97.3
"0755_PWS96","PWS96",1996,"PWS",97.18
"0756_PWS96","PWS96",1996,"PWS",97.42
"0757_PWS96","PWS96",1996,"PWS",96.98
"0758_PWS96","PWS96",1996,"PWS",97.23
"0759_PWS96","PWS96",1996,"PWS",97.27
"0760_PWS96","PWS96",1996,"PWS",97.3
"0929_PWS96","PWS96",1996,"PWS",97.41
"0930_PWS96","PWS96",1996,"PWS",97.46
"0931_PWS96","PWS96",1996,"PWS",97.44
"0932_PWS96","PWS96",1996,"PWS",97.45
"0933_PWS96","PWS96",1996,"PWS",97.22
"0934_PWS96","PWS96",1996,"PWS",97.2
"0935_PWS96","PWS96",1996,"PWS",97.46
"0936_PWS96","PWS96",1996,"PWS",97.14
"0961_PWS96","PWS96",1996,"PWS",97.37
"0962_PWS96","PWS96",1996,"PWS",97.37
"0963_PWS96","PWS96",1996,"PWS",97.34
"0964_PWS96","PWS96",1996,"PWS",97.32
"0965_PWS96","PWS96",1996,"PWS",97.04
"0966_PWS96","PWS96",1996,"PWS",97.34
"0967_PWS96","PWS96",1996,"PWS",97.06
"0968_PWS96","PWS96",1996,"PWS",97.33
"0985_PWS96","PWS96",1996,"PWS",96.69
"0986_PWS96","PWS96",1996,"PWS",96.78
"0987_PWS96","PWS96",1996,"PWS",96.81
"0988_PWS96","PWS96",1996,"PWS",96.72
"0989_PWS96","PWS96",1996,"PWS",96.94
"0990_PWS96","PWS96",1996,"PWS",97.18
"0991_PWS96","PWS96",1996,"PWS",97.03
"0992_PWS96","PWS96",1996,"PWS",97.07
"1017_PWS96","PWS96",1996,"PWS",97.32
"1018_PWS96","PWS96",1996,"PWS",97.06
"1019_PWS96","PWS96",1996,"PWS",97.34
"1020_PWS96","PWS96",1996,"PWS",97.3
"1021_PWS96","PWS96",1996,"PWS",97.03
"1022_PWS96","PWS96",1996,"PWS",97.13
"1023_PWS96","PWS96",1996,"PWS",97.29
"1024_PWS96","PWS96",1996,"PWS",97.08
"1073_PWS96","PWS96",1996,"PWS",97.06
"1074_PWS96","PWS96",1996,"PWS",97.48
"1075_PWS96","PWS96",1996,"PWS",97.53
"1076_PWS96","PWS96",1996,"PWS",97.58
"1077_PWS96","PWS96",1996,"PWS",97.32
"1078_PWS96","PWS96",1996,"PWS",97.5
"1079_PWS96","PWS96",1996,"PWS",97.8
"1080_PWS96","PWS96",1996,"PWS",97.3
"1113_PWS96","PWS96",1996,"PWS",97.37
"1114_PWS96","PWS96",1996,"PWS",96.98
"1115_PWS96","PWS96",1996,"PWS",97.13
"1116_PWS96","PWS96",1996,"PWS",97.11
"1117_PWS96","PWS96",1996,"PWS",96.94
"1118_PWS96","PWS96",1996,"PWS",96.88
"1119_PWS96","PWS96",1996,"PWS",96.76
"1120_PWS96","PWS96",1996,"PWS",97.07
"0441_SS06","SS06",2006,"SS",97.73
"0442_SS06","SS06",2006,"SS",97.71
"0443_SS06","SS06",2006,"SS",97.64
"0444_SS06","SS06",2006,"SS",97.64
"0445_SS06","SS06",2006,"SS",97.49
"0446_SS06","SS06",2006,"SS",97.59
"0447_SS06","SS06",2006,"SS",97.64
"0448_SS06","SS06",2006,"SS",97.81
"0465_SS06","SS06",2006,"SS",97.58
"0466_SS06","SS06",2006,"SS",97.49
"0467_SS06","SS06",2006,"SS",97.58
"0468_SS06","SS06",2006,"SS",97.89
"0469_SS06","SS06",2006,"SS",97.65
"0470_SS06","SS06",2006,"SS",97.7
"0471_SS06","SS06",2006,"SS",98.01
"0505_SS06","SS06",2006,"SS",97.69
"0506_SS06","SS06",2006,"SS",97.47
"0507_SS06","SS06",2006,"SS",97.47
"0508_SS06","SS06",2006,"SS",97.61
"0509_SS06","SS06",2006,"SS",97.59
"0510_SS06","SS06",2006,"SS",97.66
"0511_SS06","SS06",2006,"SS",97.52
"0512_SS06","SS06",2006,"SS",97.43
"0905_SS06","SS06",2006,"SS",97.79
"0906_SS06","SS06",2006,"SS",97.89
"0907_SS06","SS06",2006,"SS",97.83
"0908_SS06","SS06",2006,"SS",97.76
"0909_SS06","SS06",2006,"SS",97.86
"0910_SS06","SS06",2006,"SS",97.91
"0911_SS06","SS06",2006,"SS",97.89
"0912_SS06","SS06",2006,"SS",97.83
"1025_SS06","SS06",2006,"SS",97.71
"1026_SS06","SS06",2006,"SS",97.9
"1027_SS06","SS06",2006,"SS",97.63
"1028_SS06","SS06",2006,"SS",97.88
"1029_SS06","SS06",2006,"SS",97.53
"1030_SS06","SS06",2006,"SS",97.63
"1031_SS06","SS06",2006,"SS",97.63
"1032_SS06","SS06",2006,"SS",97.74
"1249_SS06","SS06",2006,"SS",97.88
"1250_SS06","SS06",2006,"SS",97.78
"0457_SS17","SS17",2017,"SS",97.41
"0458_SS17","SS17",2017,"SS",97.51
"0459_SS17","SS17",2017,"SS",96.92
"0460_SS17","SS17",2017,"SS",97.34
"0461_SS17","SS17",2017,"SS",97.29
"0462_SS17","SS17",2017,"SS",97.21
"0463_SS17","SS17",2017,"SS",97.21
"0464_SS17","SS17",2017,"SS",97.43
"0521_SS17","SS17",2017,"SS",97.83
"0522_SS17","SS17",2017,"SS",97.63
"0523_SS17","SS17",2017,"SS",97.81
"0524_SS17","SS17",2017,"SS",97.81
"0525_SS17","SS17",2017,"SS",97.76
"0526_SS17","SS17",2017,"SS",97.66
"0527_SS17","SS17",2017,"SS",97.87
"0528_SS17","SS17",2017,"SS",97.83
"0609_SS17","SS17",2017,"SS",97.68
"0610_SS17","SS17",2017,"SS",97.58
"0611_SS17","SS17",2017,"SS",97.91
"0612_SS17","SS17",2017,"SS",97.78
"0613_SS17","SS17",2017,"SS",97.65
"0614_SS17","SS17",2017,"SS",97.46
"0615_SS17","SS17",2017,"SS",97.55
"0616_SS17","SS17",2017,"SS",97.54
"0761_SS17","SS17",2017,"SS",97.39
"0762_SS17","SS17",2017,"SS",97.76
"0763_SS17","SS17",2017,"SS",97.64
"0764_SS17","SS17",2017,"SS",97.8
"0765_SS17","SS17",2017,"SS",97.59
"0766_SS17","SS17",2017,"SS",97.71
"0767_SS17","SS17",2017,"SS",97.8
"0768_SS17","SS17",2017,"SS",97.46
"0817_SS17","SS17",2017,"SS",97.43
"0818_SS17","SS17",2017,"SS",97.62
"0819_SS17","SS17",2017,"SS",97.6
"0820_SS17","SS17",2017,"SS",97.54
"0821_SS17","SS17",2017,"SS",97.65
"0822_SS17","SS17",2017,"SS",97.35
"0823_SS17","SS17",2017,"SS",97.33
"0824_SS17","SS17",2017,"SS",97.35
"0937_SS17","SS17",2017,"SS",97.59
"0938_SS17","SS17",2017,"SS",97.76
"0939_SS17","SS17",2017,"SS",97.75
"0940_SS17","SS17",2017,"SS",97.79
"0941_SS17","SS17",2017,"SS",97.62
"0942_SS17","SS17",2017,"SS",97.6
"0943_SS17","SS17",2017,"SS",97.89
"0944_SS17","SS17",2017,"SS",97.49
"0945_SS17","SS17",2017,"SS",97.97
"0946_SS17","SS17",2017,"SS",97.78
"0947_SS17","SS17",2017,"SS",97.5
"0948_SS17","SS17",2017,"SS",97.66
"0949_SS17","SS17",2017,"SS",97.67
"0950_SS17","SS17",2017,"SS",97.82
"0951_SS17","SS17",2017,"SS",97.43
"0952_SS17","SS17",2017,"SS",97.37
"1185_SS17","SS17",2017,"SS",97.59
"1186_SS17","SS17",2017,"SS",97.62
"1187_SS17","SS17",2017,"SS",97.65
"1188_SS17","SS17",2017,"SS",97.72
"1189_SS17","SS17",2017,"SS",97.72
"1190_SS17","SS17",2017,"SS",97.72
"1191_SS17","SS17",2017,"SS",98.03
"1192_SS17","SS17",2017,"SS",97.45
"0393_SS96","SS96",1996,"SS",96.74
"0394_SS96","SS96",1996,"SS",95.68
"0395_SS96","SS96",1996,"SS",96.47
"0396_SS96","SS96",1996,"SS",96.79
"0397_SS96","SS96",1996,"SS",96.66
"0398_SS96","SS96",1996,"SS",95.53
"0399_SS96","SS96",1996,"SS",95.16
"0400_SS96","SS96",1996,"SS",96.48
"0481_SS96","SS96",1996,"SS",96.51
"0482_SS96","SS96",1996,"SS",96.6
"0483_SS96","SS96",1996,"SS",96.28
"0484_SS96","SS96",1996,"SS",96.58
"0485_SS96","SS96",1996,"SS",95.91
"0486_SS96","SS96",1996,"SS",96.7
"0487_SS96","SS96",1996,"SS",96.61
"0488_SS96","SS96",1996,"SS",96.3
"0625_SS96","SS96",1996,"SS",96.53
"0626_SS96","SS96",1996,"SS",95.56
"0627_SS96","SS96",1996,"SS",97.01
"0628_SS96","SS96",1996,"SS",96.64
"0629_SS96","SS96",1996,"SS",96.46
"0630_SS96","SS96",1996,"SS",96.98
"0631_SS96","SS96",1996,"SS",96.76
"0632_SS96","SS96",1996,"SS",96.43
"0721_SS96","SS96",1996,"SS",96.99
"0722_SS96","SS96",1996,"SS",96.85
"0723_SS96","SS96",1996,"SS",96.66
"0724_SS96","SS96",1996,"SS",97
"0725_SS96","SS96",1996,"SS",96.85
"0726_SS96","SS96",1996,"SS",96.47
"0727_SS96","SS96",1996,"SS",97.26
"0728_SS96","SS96",1996,"SS",96.74
"0777_SS96","SS96",1996,"SS",96.6
"0778_SS96","SS96",1996,"SS",96.34
"0779_SS96","SS96",1996,"SS",95.88
"0780_SS96","SS96",1996,"SS",96.24
"0781_SS96","SS96",1996,"SS",96.92
"0782_SS96","SS96",1996,"SS",96.19
"0783_SS96","SS96",1996,"SS",96.68
"0784_SS96","SS96",1996,"SS",96.08
"0801_SS96","SS96",1996,"SS",96.72
"0802_SS96","SS96",1996,"SS",96.58
"0803_SS96","SS96",1996,"SS",97.03
"0804_SS96","SS96",1996,"SS",96.36
"0805_SS96","SS96",1996,"SS",96.92
"0807_SS96","SS96",1996,"SS",96.58
"0808_SS96","SS96",1996,"SS",96.4
"0849_SS96","SS96",1996,"SS",96.65
"0850_SS96","SS96",1996,"SS",96.12
"0851_SS96","SS96",1996,"SS",96.46
"0852_SS96","SS96",1996,"SS",96.47
"0853_SS96","SS96",1996,"SS",96.67
"0854_SS96","SS96",1996,"SS",96.55
"0855_SS96","SS96",1996,"SS",96.89
"0856_SS96","SS96",1996,"SS",96.83
"0873_SS96","SS96",1996,"SS",95.87
"0874_SS96","SS96",1996,"SS",96.82
"0875_SS96","SS96",1996,"SS",95.78
"0876_SS96","SS96",1996,"SS",95.17
"0877_SS96","SS96",1996,"SS",95.85
"0878_SS96","SS96",1996,"SS",96.02
"0879_SS96","SS96",1996,"SS",96.66
"0880_SS96","SS96",1996,"SS",96.6
"0993_SS96","SS96",1996,"SS",95.55
"0994_SS96","SS96",1996,"SS",96.26
"0995_SS96","SS96",1996,"SS",96.69
"0996_SS96","SS96",1996,"SS",97.22
"0997_SS96","SS96",1996,"SS",95.95
"0998_SS96","SS96",1996,"SS",96.38
"0999_SS96","SS96",1996,"SS",97
"1000_SS96","SS96",1996,"SS",95.9
"1129_SS96","SS96",1996,"SS",97.18
"1130_SS96","SS96",1996,"SS",95.66
"1131_SS96","SS96",1996,"SS",95.96
"1132_SS96","SS96",1996,"SS",96.54
"1133_SS96","SS96",1996,"SS",96.63
"1134_SS96","SS96",1996,"SS",96.92
"1135_SS96","SS96",1996,"SS",97.2
"0425_TB06","TB06",2006,"TB",97.83
"0426_TB06","TB06",2006,"TB",97.76
"0427_TB06","TB06",2006,"TB",97.76
"0428_TB06","TB06",2006,"TB",97.89
"0429_TB06","TB06",2006,"TB",97.76
"0430_TB06","TB06",2006,"TB",97.78
"0431_TB06","TB06",2006,"TB",97.75
"0432_TB06","TB06",2006,"TB",98.06
"0489_TB06","TB06",2006,"TB",97.64
"0490_TB06","TB06",2006,"TB",97.45
"0491_TB06","TB06",2006,"TB",97.71
"0492_TB06","TB06",2006,"TB",97.59
"0493_TB06","TB06",2006,"TB",97.57
"0494_TB06","TB06",2006,"TB",97.54
"0495_TB06","TB06",2006,"TB",97.66
"0496_TB06","TB06",2006,"TB",97.58
"0641_TB06","TB06",2006,"TB",97.89
"0642_TB06","TB06",2006,"TB",97.83
"0643_TB06","TB06",2006,"TB",97.84
"0644_TB06","TB06",2006,"TB",97.93
"0645_TB06","TB06",2006,"TB",97.8
"0646_TB06","TB06",2006,"TB",97.7
"0647_TB06","TB06",2006,"TB",97.71
"0648_TB06","TB06",2006,"TB",97.67
"0713_TB06","TB06",2006,"TB",97.3
"0714_TB06","TB06",2006,"TB",97.68
"0715_TB06","TB06",2006,"TB",97.7
